product_id;title;description;category;price_eur;qty;brand;ean;image_urls;weight
SUP-1001;Cordless Drill 20V with 2 Batteries;"<p>Powerful 20V cordless drill with two 2.0Ah batteries, charger and carrying case. Two-speed gearbox, 13mm keyless chuck.</p>";Power Tools;32,50;14;Makita;8412345000011;https://picsum.photos/seed/drill-a/900/900|https://picsum.photos/seed/drill-b/900/900;2.4
SUP-1002;Screwdriver Set 42 pieces;"<p>Precision screwdriver set with 42 bits in a compact case. Chrome vanadium steel, magnetic tips.</p>";Hand Tools;9,90;40;Bosch;8412345000028;https://picsum.photos/seed/screw-a/900/900;0.6
SUP-1003;Angle Grinder 900W;"<p>Compact angle grinder, 900W motor, 125mm disc, side handle included. Safety guard adjustable without tools.</p>";Power Tools;24,00;8;Makita;8412345000035;https://picsum.photos/seed/grinder-a/900/900|https://picsum.photos/seed/grinder-b/900/900;1.9
SUP-1004;Solar Wall Lamp - Set of 4;"<p>Outdoor solar wall lights with automatic dusk sensor. Weatherproof IP65, warm white LED, no wiring needed.</p>";Garden;12,00;35;;8412345000042;https://picsum.photos/seed/solar-a/900/900;1.1
SUP-1005;Wireless Earbuds with Charging Case;"<p>Bluetooth 5.3 earbuds, up to 24 hours total playtime with the charging case. Touch controls and built-in microphone.</p>";Electronics;14,20;50;;8412345000059;https://picsum.photos/seed/buds-a/900/900|https://picsum.photos/seed/buds-b/900/900;0.2
SUP-1006;Tactical Backpack 30 L;"<p>Durable 30 litre tactical backpack, water-resistant 900D fabric, MOLLE webbing, padded laptop compartment.</p>";Outdoor;17,40;12;;8412345000066;https://picsum.photos/seed/backpack-a/900/900;0.9
SUP-1007;Garden Water Pump 750W;"<p>Self-priming garden pump, 750W, maximum flow 3200 l/h. Stainless steel shaft, thermal overload protection.</p>";Garden;38,00;6;;8412345000073;https://picsum.photos/seed/pump-a/900/900;7.5
SUP-1008;Headlamp 1200 Lumen;"<p>Rechargeable LED headlamp, 1200 lumens, five light modes, motion sensor and IPX5 water resistance.</p>";Outdoor;8,10;44;;8412345000080;https://picsum.photos/seed/headlamp-a/900/900;0.15
SUP-1009;Digital Multimeter with Clamp;"<p>True RMS digital multimeter with clamp meter, auto-ranging, backlit display, includes test leads.</p>";Hand Tools;11,30;22;;8412345000097;https://picsum.photos/seed/multimeter-a/900/900;0.5
SUP-1010;Car Seat Cover Set;"<p>Universal car seat covers, full set for front and rear seats. Breathable fabric, airbag compatible.</p>";Automotive;23,00;7;;8412345000103;https://picsum.photos/seed/seatcover-a/900/900;3.2
SUP-1011;Broken Row Without Price;"<p>This row has no usable price and must be skipped by the importer.</p>";Outdoor;;5;;;;
SUP-1012;Portable Bluetooth Speaker 20W;"<p>20W portable speaker with deep bass, IPX6 splash resistance and 12 hours of playback.</p>";Electronics;16,60;25;;8412345000127;https://picsum.photos/seed/speaker-a/900/900;0.8
